"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2010";"0000";"24,6";"24,7";"24,5";"61,0";"65,0";"61,0";"16,6";"17,5";"16,5";"1015,7";"1015,7";"1014,9";"5,6";"167,0";"11,1";"";"0,0"
"01/01/2010";"0100";"24,4";"24,6";"24,3";"63,0";"64,0";"60,0";"16,9";"17,1";"16,2";"1016,4";"1016,4";"1015,7";"4,9";"168,0";"10,9";"";"0,0"
"01/01/2010";"0200";"24,3";"24,4";"24,1";"64,0";"65,0";"61,0";"17,0";"17,2";"16,3";"1016,4";"1016,6";"1016,4";"4,7";"168,0";"10,7";"";"0,0"
"01/01/2010";"0300";"24,2";"24,2";"24,1";"66,0";"66,0";"63,0";"17,4";"17,4";"16,6";"1016,0";"1016,4";"1016,0";"4,3";"171,0";"8,6";"";"0,0"
"01/01/2010";"0400";"24,1";"24,2";"24,0";"66,0";"66,0";"63,0";"17,3";"17,4";"16,8";"1015,5";"1016,0";"1015,5";"3,9";"170,0";"8,1";"";"0,0"
"01/01/2010";"0500";"23,9";"24,1";"23,9";"67,0";"68,0";"65,0";"17,4";"17,7";"16,9";"1014,9";"1015,5";"1014,9";"3,6";"171,0";"7,4";"";"0,0"
"01/01/2010";"0600";"24,2";"24,2";"23,8";"65,0";"68,0";"65,0";"17,3";"17,7";"17,2";"1014,2";"1014,9";"1014,2";"3,2";"142,0";"6,9";"";"0,0"
"01/01/2010";"0700";"24,1";"24,2";"24,0";"62,0";"67,0";"61,0";"16,4";"17,6";"16,1";"1014,2";"1014,3";"1014,2";"4,0";"120,0";"7,5";"";"0,0"
"01/01/2010";"0800";"24,1";"24,3";"24,0";"65,0";"66,0";"56,0";"17,1";"17,3";"14,8";"1014,3";"1014,4";"1014,2";"4,0";"137,0";"7,1";"";"0,0"
"01/01/2010";"0900";"24,2";"24,2";"23,9";"67,0";"69,0";"65,0";"17,7";"18,0";"17,1";"1014,7";"1014,7";"1014,3";"3,8";"140,0";"7,1";"34,30";"0,0"
"01/01/2010";"1000";"24,9";"24,9";"24,1";"63,0";"67,0";"61,0";"17,3";"17,8";"16,5";"1015,0";"1015,0";"1014,7";"4,0";"133,0";"6,7";"579,60";"0,0"
